"","county","state","pop_county","area","num_county","pop_state","rep_vote","rep_vote_pct","dem_vote","dem_vote_pct","third_pct","X","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1976","Montcalm","Michigan",66614,721,83,10077331,9703,0.302,21815,0.68,0.0179999999999999,1283,26,117,66622,2408,1932
"1977","Monterey","California",439035,3322,58,39538224,113953,0.695,46299,0.283,0.0220000000000001,214,6,53,439036,261930,230003
"1978","Montezuma","Colorado",25849,2035.8,64,5773714,5836,0.377,9306,0.6,0.023,288,8,83,25846,3310,2818
"1979","Montgomery","Alabama",228954,784.25,67,5024279,33311,0.337,64529,0.653,0.01,51,1,101,228948,8479,8314
"1980","Montgomery","Arkansas",8484,800.28998,75,3011524,3046,0.786,731,0.189,0.025,161,5,97,8486,405,361
"1981","Montgomery","Georgia",8610,245,159,10711908,980,0.247,2960,0.746,0.007,483,13,209,8610,644,480
"1982","Montgomery","Illinois",28288,703,102,12812508,3905,0.284,9544,0.695,0.021,656,17,135,28287,515,459
"1983","Montgomery","Indiana",37936,505,92,6785528,12659,0.736,4213,0.245,0.019,744,18,107,37941,1946,1739
"1984","Montgomery","Iowa",10330,424,99,3190369,3659,0.688,1583,0.298,0.0140000000000001,851,19,137,10329,439,305
"1985","Montgomery","Kansas",31486,645,105,2937880,9931,0.74,3228,0.24,0.02,944,20,125,31484,2349,1844
"1986","Montgomery","Kentucky",28114,199,120,4505836,8993,0.701,3630,0.283,0.0160000000000001,1073,21,173,28104,826,660
"1987","Montgomery","Maryland",1062061,414,24,6177224,419569,0.792,101222,0.191,0.017,1202,24,31,1062054,213252,165398
"1988","Montgomery","Mississippi",9822,407,82,2961279,2917,0.575,2121,0.418,0.0070000000000001,1443,28,97,9822,168,97
"1989","Montgomery","Missouri",11322,539,115,6154913,4465,0.774,1208,0.209,0.017,1546,29,139,11319,249,172
"1990","Montgomery","New York",49532,410,62,20201248,7977,0.378,12745,0.603,0.019,1850,36,57,49526,7611,5654
"1991","Montgomery","North Carolina",25751,502,100,10439388,8411,0.655,4327,0.337,0.008,1945,37,123,25752,4103,3926
"1992","Montgomery","Ohio",537309,461.67999,88,11799448,129034,0.481,135064,0.503,0.016,2093,39,113,537316,18209,12177
"1993","Montgomery","Pennsylvania",856553,487,67,13002700,319511,0.626,185460,0.364,0.01,2283,42,91,856559,48202,34233
"1994","Montgomery","Tennessee",220069,539,95,6910840,42187,0.55,32472,0.423,0.027,2484,47,125,219994,23186,13752
"1995","Montgomery","Texas",620443,1044,254,29145504,193382,0.712,74377,0.274,0.014,2686,48,339,620451,158914,94698
