county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct
Baker,Florida,28259,585,67,21538088,11911,.847,2037,.145,.008
Bay,Florida,175216,764,67,21538088,66097,.711,25614,.275,.014
Bradford,Florida,28203,293,67,21538088,10334,.758,3160,.232,.01
Brevard,Florida,606612,1018,67,21538088,207883,.576,148549,.412,.0120000000000001
Broward,Florida,1944375,1209,67,21538088,333409,.348,618752,.646,.006
Calhoun,Florida,13648,567,67,21538088,5274,.8080000000000001,1209,.185,.007
Charlotte,Florida,186847,694,67,21538088,73243,.63,42273,.363,.007
Citrus,Florida,153843,584,67,21538088,65352,.701,27092,.291,.0080000000000001
Clay,Florida,218245,601,67,21538088,84480,.679,38317,.308,.013
Collier,Florida,375752,2026,67,21538088,128950,.621,77621,.374,.005
Columbia,Florida,69698,797,67,21538088,23836,.721,8914,.27,.009
DeSoto,Florida,33976,637,67,21538088,8313,.657,4259,.336,.007
Dixie,Florida,16759,704,67,21538088,6759,.828,1365,.167,.005
Duval,Florida,995567,774,67,21538088,233762,.474,252556,.513,.013
Escambia,Florida,321905,664,67,21538088,96674,.5679999999999999,70929,.416,.0160000000000001
Flagler,Florida,115378,485,67,21538088,43043,.6,28161,.393,.007
Franklin,Florida,12451,534,67,21538088,4675,.6830000000000001,2120,.31,.007
Gadsden,Florida,43826,516,67,21538088,7465,.314,16153,.68,.0059999999999999
Gilchrist,Florida,17864,349,67,21538088,7895,.8149999999999999,1700,.176,.0090000000000001
Glades,Florida,12126,774,67,21538088,3782,.728,1385,.267,.005
Gulf,Florida,14192,565,67,21538088,6113,.749,1985,.243,.008
Hamilton,Florida,14004,515,67,21538088,3815,.654,1963,.337,.009
Hardee,Florida,25327,637,67,21538088,6122,.722,2298,.271,.007
Hendry,Florida,39619,1153,67,21538088,7906,.611,4929,.381,.008
Hernando,Florida,194515,478,67,21538088,70412,.646,37519,.344,.01
Highlands,Florida,101235,1028,67,21538088,34873,.668,16938,.325,.007
Hillsborough,Florida,1459762,1051,67,21538088,327398,.46,376367,.529,.011
Holmes,Florida,19653,482,67,21538088,8080,.891,924,.102,.007
Indian River,Florida,159788,503,67,21538088,58872,.604,37844,.388,.008
Jackson,Florida,47319,916,67,21538088,15488,.6909999999999999,6766,.302,.0070000000000001
Jefferson,Florida,14510,598,67,21538088,4479,.53,3897,.461,.009
Lafayette,Florida,8226,543,67,21538088,3128,.855,510,.139,.006
Lake,Florida,383956,953,67,21538088,125859,.596,83505,.395,.009
Lee,Florida,760822,804,67,21538088,233247,.592,157695,.4,.008
Leon,Florida,292198,667,67,21538088,57453,.353,103517,.636,.011
