county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,_merge
Johnson,Arkansas,25749,682.73999,75,3011524,6938,.73,2283,.24,.03,3094,3439,Matched (3)
Miami,Ohio,108774,407.04001,88,11799448,41371,.714,15663,.27,.016,1341,2199,Matched (3)
Habersham,Georgia,46031,278,159,10711908,3562,.174,16637,.8139999999999999,.0120000000000001,5333,6880,Matched (3)
Roanoke,Virginia,96929,251,133,8631393,26773,.62,15607,.362,.018,5345,8484,Matched (3)
Calhoun,Florida,13648,567,67,21538088,5274,.8080000000000001,1209,.185,.007,755,622,Matched (3)
Mason,Texas,3953,932,254,29145504,1991,.806,457,.185,.009,864,883,Matched (3)
Marion,Mississippi,24441,542,82,2961279,8273,.679,3787,.311,.01,336,406,Matched (3)
Green Lake,Wisconsin,19018,349.44,72,5893718,3344,.314,7168,.673,.0129999999999999,743,979,Matched (3)
Cass,Missouri,107824,699,115,6154913,37197,.648,19052,.332,.02,3988,5583,Matched (3)
Reynolds,Missouri,6096,811,115,6154913,2733,.829,529,.16,.011,64,99,Matched (3)
Hall,Texas,2825,903,254,29145504,995,.852,168,.144,.004,1087,950,Matched (3)
Lee,South Carolina,16531,411,46,5118425,3008,.357,5329,.632,.011,334,295,Matched (3)
Clearwater,Idaho,8734,2462,44,1839106,3453,.781,877,.198,.021,268,300,Matched (3)
Bosque,Texas,18235,989,254,29145504,7469,.8179999999999999,1561,.171,.011,2926,3321,Matched (3)
Deer Lodge,Montana,9421,737,56,1084225,2186,.447,2562,.524,.0289999999999999,271,260,Matched (3)
Santa Barbara,California,448229,2738,58,39538224,129963,.649,65736,.328,.023,181687,210584,Matched (3)
Sheridan,North Dakota,1265,972,53,779094,688,.851,104,.129,.02,16,10,Matched (3)
Charles,Maryland,166617,418,24,6177224,62171,.698,25579,.287,.0150000000000001,6259,11677,Matched (3)
Ventura,California,843843,1846,58,39538224,251388,.595,162207,.384,.021,331567,365285,Matched (3)
Burke,North Carolina,87570,515,100,10439388,31019,.697,13118,.295,.0080000000000001,4634,7184,Matched (3)
Pierce,Georgia,19716,343,159,10711908,1100,.122,7898,.873,.005,887,998,Matched (3)
Hamilton,Texas,8222,836,254,29145504,3616,.831,641,.147,.022,863,1045,Matched (3)
Tippecanoe,Indiana,186251,500,92,6785528,34581,.484,35017,.49,.026,12947,18647,Matched (3)
Jasper,Missouri,122761,640,115,6154913,37728,.721,13549,.259,.02,8027,11377,Matched (3)
Fulton,New York,53324,533,62,20201248,7931,.334,15378,.648,.0179999999999999,1263,2134,Matched (3)
Hampshire,West Virginia,23093,642,55,1793716,8033,.796,1939,.192,.012,242,337,Matched (3)
Nicollet,Minnesota,34454,452.29001,87,5706494,9622,.505,9018,.473,.022,1226,1800,Matched (3)
Hampton,Virginia,137148,52,133,8631393,46220,.704,18430,.281,.015,6241,8411,Matched (3)
Ashe,North Carolina,26577,427,100,10439388,11451,.725,4164,.264,.011,1311,1519,Matched (3)
Hancock,Illinois,17620,793,102,12812508,2315,.247,6906,.736,.017,185,318,Matched (3)
Hancock,Indiana,79840,306,92,6785528,28996,.676,12895,.301,.023,1216,2202,Matched (3)
Terrebonne Parish,Louisiana,109580,2080,64,4657757,34339,.743,11198,.242,.015,4421,7358,Matched (3)
Hancock,Kentucky,9095,189,120,4505836,3145,.6860000000000001,1351,.295,.019,94,162,Matched (3)
Sioux,North Dakota,3898,1094,53,779094,258,.232,804,.724,.044,82,63,Matched (3)
Collier,Florida,375752,2026,67,21538088,128950,.621,77621,.374,.005,83177,102249,Matched (3)
