county,state,pop_county,area,num_county,pop_state
Douglas,Colorado,357978,842.29999,64,5773714
Eagle,Colorado,55731,1700.76,64,5773714
El Paso,Colorado,730395,2128.6001,64,5773714
Elbert,Colorado,26062,1849.08,64,5773714
Fremont,Colorado,48939,1533.09,64,5773714
Garfield,Colorado,61685,2958.23,64,5773714
Gilpin,Colorado,5808,150.14999,64,5773714
Grand,Colorado,15717,1868.53,64,5773714
Gunnison,Colorado,16918,3259.22,64,5773714
Hinsdale,Colorado,788,1123.35,64,5773714
Huerfano,Colorado,6820,1592.37,64,5773714
Jackson,Colorado,1379,1619.75,64,5773714
Jefferson,Colorado,582910,772.84998,64,5773714
Kiowa,Colorado,1446,1785.9,64,5773714
Kit Carson,Colorado,7087,2162.4299,64,5773714
La Plata,Colorado,55638,1700.4399,64,5773714
Lake,Colorado,7436,383.54999,64,5773714
Larimer,Colorado,359066,2631.75,64,5773714
Las Animas,Colorado,14555,4773.27,64,5773714
Lincoln,Colorado,5675,2585.21,64,5773714
Logan,Colorado,21528,1845.3101,64,5773714
Mesa,Colorado,155703,3345.6899,64,5773714
Mineral,Colorado,865,878.15997,64,5773714
Moffat,Colorado,13292,4755.8599,64,5773714
Montezuma,Colorado,25849,2035.8,64,5773714
Montrose,Colorado,42679,2246.4299,64,5773714
Morgan,Colorado,29111,1293.83,64,5773714
Otero,Colorado,18690,1267.66,64,5773714
Ouray,Colorado,4874,542.29999,64,5773714
Park,Colorado,17390,2209.3601,64,5773714
Phillips,Colorado,4530,668.29999,64,5773714
Pitkin,Colorado,17358,970.37,64,5773714
Prowers,Colorado,11999,1645.37,64,5773714
Pueblo,Colorado,168162,2396.77,64,5773714
Rio Blanco,Colorado,6529,3226.24,64,5773714
Rio Grande,Colorado,11539,913.09998,64,5773714
Routt,Colorado,24829,2362.1101,64,5773714
Saguache,Colorado,6368,3168.3201,64,5773714
San Juan,Colorado,705,388.98999,64,5773714
San Miguel,Colorado,8072,1290.76,64,5773714
Sedgwick,Colorado,2404,548.83002,64,5773714
Summit,Colorado,31055,618.91998,64,5773714
Teller,Colorado,24710,558.58002,64,5773714
Washington,Colorado,4817,2522.8999,64,5773714
Weld,Colorado,328981,4013.8401,64,5773714
Yuma,Colorado,9988,2369.6101,64,5773714
Capitol Planning Region,Connecticut,976248,1046.08,9,3605944
Greater Bridgeport Planning Region,Connecticut,325778,149.08,9,3605944
Lower Connecticut River Valley Planning Region,Connecticut,174225,461.57001,9,3605944
Naugatuck Valley Planning Region,Connecticut,450376,421.84,9,3605944
Northeastern Connecticut Planning Region,Connecticut,95348,563.20001,9,3605944
Northwest Hills Planning Region,Connecticut,112503,808.27002,9,3605944
South Central Connecticut Planning Region,Connecticut,570487,387.04001,9,3605944
Southeastern Connecticut Planning Region,Connecticut,280430,662.64001,9,3605944
Western Connecticut Planning Region,Connecticut,620549,618.71002,9,3605944
Kent,Delaware,181851,800,3,989948
New Castle,Delaware,570719,494,3,989948
Sussex,Delaware,237378,1196,3,989948
District of Columbia,District of Columbia,689545,68.339996,1,689545
Alachua,Florida,278468,874,67,21538088
Baker,Florida,28259,585,67,21538088
Bay,Florida,175216,764,67,21538088
Bradford,Florida,28203,293,67,21538088
Brevard,Florida,606612,1018,67,21538088
Broward,Florida,1944375,1209,67,21538088
Calhoun,Florida,13648,567,67,21538088
Charlotte,Florida,186847,694,67,21538088
Citrus,Florida,153843,584,67,21538088
Clay,Florida,218245,601,67,21538088
Collier,Florida,375752,2026,67,21538088
Columbia,Florida,69698,797,67,21538088
DeSoto,Florida,33976,637,67,21538088
Dixie,Florida,16759,704,67,21538088
Duval,Florida,995567,774,67,21538088
Escambia,Florida,321905,664,67,21538088
Flagler,Florida,115378,485,67,21538088
Franklin,Florida,12451,534,67,21538088
Gadsden,Florida,43826,516,67,21538088
Gilchrist,Florida,17864,349,67,21538088
Glades,Florida,12126,774,67,21538088
Gulf,Florida,14192,565,67,21538088
Hamilton,Florida,14004,515,67,21538088
Hardee,Florida,25327,637,67,21538088
Hendry,Florida,39619,1153,67,21538088
Hernando,Florida,194515,478,67,21538088
Highlands,Florida,101235,1028,67,21538088
Hillsborough,Florida,1459762,1051,67,21538088
Holmes,Florida,19653,482,67,21538088
Indian River,Florida,159788,503,67,21538088
Jackson,Florida,47319,916,67,21538088
Jefferson,Florida,14510,598,67,21538088
Lafayette,Florida,8226,543,67,21538088
Lake,Florida,383956,953,67,21538088
Lee,Florida,760822,804,67,21538088
Leon,Florida,292198,667,67,21538088
Levy,Florida,42915,1118,67,21538088
Liberty,Florida,7974,836,67,21538088
Madison,Florida,17968,692,67,21538088
Manatee,Florida,399710,741,67,21538088
Marion,Florida,375908,1579,67,21538088
Martin,Florida,158431,556,67,21538088
Miami-Dade,Florida,2701767,1946,67,21538088
Monroe,Florida,82874,997,67,21538088
Nassau,Florida,90352,652,67,21538088
Okaloosa,Florida,211668,936,67,21538088
Okeechobee,Florida,39644,774,67,21538088
Orange,Florida,1429908,908,67,21538088
Osceola,Florida,388656,1322,67,21538088
Palm Beach,Florida,1492191,2034,67,21538088
Pasco,Florida,561891,745,67,21538088
Pinellas,Florida,959107,280,67,21538088
Polk,Florida,725046,1875,67,21538088
Putnam,Florida,73321,722,67,21538088
St. Johns,Florida,273425,609,67,21538088
St. Lucie,Florida,329226,572,67,21538088
Santa Rosa,Florida,188000,1016,67,21538088
Sarasota,Florida,434006,572,67,21538088
Seminole,Florida,470856,308,67,21538088
Sumter,Florida,129752,546,67,21538088
Suwannee,Florida,43474,688,67,21538088
Taylor,Florida,21796,1042,67,21538088
Union,Florida,16147,240,67,21538088
Volusia,Florida,553543,1106,67,21538088
Wakulla,Florida,33764,607,67,21538088
Walton,Florida,75305,1058,67,21538088
Washington,Florida,25318,580,67,21538088
