county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020
Belknap,New Hampshire,63705,10,1377529,16894,.44,20899,.544,.016,724,1261
Rockingham,New Hampshire,314176,10,1377529,100064,.503,95858,.482,.015,6142,10257
Carroll,New Hampshire,50107,10,1377529,16649,.501,16150,.486,.013,473,769
Coos,New Hampshire,31268,10,1377529,7640,.463,8617,.522,.0149999999999999,401,672
Strafford,New Hampshire,130889,10,1377529,41721,.5669999999999999,30489,.414,.0190000000000001,2201,3914
Sullivan,New Hampshire,43063,10,1377529,12390,.508,11508,.472,.02,493,822
New Haven,Connecticut,863700,8,1399216,169893,.4065,242630,.5805,.0131,129743,170081
Honolulu,Hawaii,1016508,5,1455271,238869,.625,136259,.357,.018,77433,92322
Kauai,Hawaii,73298,5,1455271,21225,.634,11582,.346,.02,6315,7394
Hawaii,Hawaii,200629,5,1455271,58731,.669,26897,.306,.025,21383,22275
Maui,Hawaii,164754,5,1455271,47305,.666,22126,.311,.023,15710,16914
Kalawao,Hawaii,82,5,1455271,,,,,,1,18
Middlesex,Connecticut,164759,8,1563975,40665,.4099,56848,.573,.017,7834,11928
Litchfield,Connecticut,185000,8,1748975,55601,.517,50164,.4665,.0165,8535,14580
Taylor,West Virginia,16705,55,1793716,5477,.742,1796,.243,.015,143,179
Nicholas,West Virginia,24604,55,1793716,8279,.779,2226,.209,.012,146,173
Marshall,West Virginia,30591,55,1793716,10435,.741,3455,.245,.014,265,354
Randolph,West Virginia,27932,55,1793716,8673,.711,3362,.276,.013,192,312
Jefferson,West Virginia,57701,55,1793716,15033,.543,12127,.438,.019,2489,4137
Upshur,West Virginia,23816,55,1793716,7771,.76,2256,.221,.019,250,316
Pleasants,West Virginia,7653,55,1793716,2742,.785,699,.2,.015,61,63
Hampshire,West Virginia,23093,55,1793716,8033,.796,1939,.192,.012,242,337
Braxton,West Virginia,12447,55,1793716,4120,.727,1457,.257,.016,67,85
Webster,West Virginia,8378,55,1793716,2759,.8110000000000001,610,.179,.01,48,50
Jackson,West Virginia,27791,55,1793716,10093,.747,3207,.237,.016,185,230
Greenbrier,West Virginia,32977,55,1793716,10925,.6889999999999999,4655,.294,.0170000000000001,422,571
Wood,West Virginia,84296,55,1793716,27202,.702,10926,.282,.0160000000000001,744,1174
Berkeley,West Virginia,122076,55,1793716,33279,.646,17186,.333,.021,3961,6893
Clay,West Virginia,8051,55,1793716,2679,.796,641,.19,.014,33,52
Kanawha,West Virginia,180745,55,1793716,46398,.5639999999999999,34344,.418,.0180000000000001,1812,2720
Calhoun,West Virginia,6229,55,1793716,2364,.796,568,.191,.013,57,48
Fayette,West Virginia,40488,55,1793716,11580,.6870000000000001,5063,.3,.013,402,525
Ohio,West Virginia,42425,55,1793716,12354,.621,7223,.363,.016,362,647
Wyoming,West Virginia,21382,55,1793716,7353,.856,1157,.135,.009,105,170
Roane,West Virginia,14028,55,1793716,4213,.731,1455,.252,.017,103,152
Marion,West Virginia,56205,55,1793716,16300,.632,8901,.345,.023,514,875
Tyler,West Virginia,8313,55,1793716,3226,.823,631,.161,.016,49,53
